FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
010000024;CH DE FLEYRIAT;01440;VIRIAT;Public;46.222286;5.209181
010000032;CH BUGEY SUD;01300;BELLEY;Public;45.748248;5.679151
010000065;CH DE TREVOUX - MONTPENSIER;01606;TREVOUX;Public;45.942379;4.774112
010000081;CH DU PAYS DE GEX;01174;GEX;Public;46.337184;6.066530
010000099;CH DE MEXIMIEUX;01800;MEXIMIEUX;Public;45.906630;5.194669
010000107;CH DE PONT DE VAUX;01190;PONT DE VAUX;Public;46.432218;4.945389
010000115;CHI AIN VAL DE SAONE - PONT VEYLE;01290;PONT DE VEYLE;Public;46.263818;4.889558
010000131;CHI AIN VAL DE SAONE - THOISSEY;01140;THOISSEY;Public;46.172485;4.803918
010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;01110;PLATEAU D HAUTEVILLE;Public;45.976488;5.609098
010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;01110;PLATEAU D HAUTEVILLE;Public;45.976488;5.609098
010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;01110;PLATEAU D HAUTEVILLE;Public;45.976488;5.609098
010005239;CH DU HAUT BUGEY - GEOVREISSET;01108;OYONNAX;Public;46.264295;5.638998
010009314;SSR HOTEL DIEU DE FLEYRIAT;01000;BOURG EN BRESSE;Public;46.201474;5.232400
010010163;CHMS - SITE BELLEY LABO BIO MEDICALE;01300;BELLEY;Public;45.761585;5.684769
010786879;CPEF DE BELLEY;01300;BELLEY;Public;45.761585;5.684769
020000089;CH GUISE;02120;GUISE;Public;49.902873;3.640173
020000097;CH LA FÈRE;02800;LA FERE;Public;49.663407;3.360284
020000105;CH LE NOUVION-EN-THIÉRACHE;02170;LE NOUVION EN THIERACHE;Public;50.011712;3.777857
020000162;CH SAINT-QUENTIN;02321;ST QUENTIN;Public;49.993864;3.461149
020000246;CH VERVINS;02140;VERVINS;Public;49.832404;3.902774
020000303;HOPITAL VILLIERS SAINT DENIS;02310;VILLIERS ST DENIS;ESPIC;48.995030;3.267506
020000394;CH LAON;02001;LAON;Public;49.474037;3.588417
020000519;CH SOISSONS;02209;SOISSONS;Public;49.383762;3.327613
020000535;CH CHAUNY;02303;CHAUNY;Public;49.610874;3.227266
020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;02410;ST GOBAIN;Public;49.600597;3.416861
020001061;CH CHÂTEAU-THIERRY;02400;CHATEAU THIERRY;Public;49.050745;3.407784
020001087;CH HIRSON;02500;HIRSON;Public;49.924639;4.073590
020003877;SSR CH LAON;02000;LAON;Public;49.552620;3.597104
020004388;CPEF CH SAINT-QUENTIN;02321;ST QUENTIN;Public;49.847398;3.287450
020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;02321;ST QUENTIN;Public;49.857583;3.264376
020016366;SMUR CH SAINT-QUENTIN GUISE;02120;GUISE;Public;49.902873;3.640173
030000012;CH DE NERIS LES BAINS;03310;NERIS LES BAINS;Public;46.285580;2.662448
030000061;CH DE MOULINS;03006;MOULINS;Public;47.658231;1.202821
030000079;CH DE MONTLUCON;03109;MONTLUCON;Public;46.349044;2.514728
030000087;CH JACQUES LACARIN VICHY;03201;VICHY;Public;46.123439;3.435380
030000095;CH DE BOURBON L'ARCHAMBAULT;03160;BOURBON L ARCHAMBAULT;Public;46.577983;3.047433
030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;03240;TRONGET;Public;46.419665;3.125526
030007835;MAISON COMMUNAUTAIRE;03000;MOULINS;Public;46.562558;3.332038
030007843;HOPITAL DE JOUR ADULTE DENIS PAPIN;03000;MOULINS;Public;46.566480;3.341758
030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;03500;ST POURCAIN SUR SIOULE;Public;46.327730;3.349323
030780589;CHS D'YZEURE;03401;YZEURE;Public;46.566478;3.360672
030781637;SERVICE DE PSYCHIATRIE CHATELARD;03170;ST ANGEL;Public;46.355329;2.694897
030783989;CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;03109;MONTLUCON;Public;46.342307;2.604952
030785042;HOPITAL DE JOUR VICHY-OUEST;03200;VICHY;Public;46.134336;3.425255
030785869;ESPACE CANGUILHEM;03200;VICHY;Public;46.128424;3.422346
030785885;HOPITAL DE JOUR PSY INFANTJUV;03200;VICHY;Public;46.121393;3.425080
040000036;EPS PIERRE GROUES DE BARCELONNETTE;04400;BARCELONNETTE;Public;44.387497;6.649545
040000044;EPS DUCELIA DE CASTELLANE;04120;CASTELLANE;Public;43.799214;6.400629
040000069;CHI MANOSQUE SITE FORCALQUIER;04300;FORCALQUIER;Public;43.959115;5.777325
040000093;CHI DE MANOSQUE LOUIS RAFFALLI;04101;MANOSQUE;Public;43.826542;5.790238
040000119;EPS LUMIERE DE RIEZ;04500;RIEZ;Public;43.818951;6.089579
040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;04140;SEYNE LES ALPES;Public;44.350463;6.378702
040000135;CHI DES ALPES DU SUD SITE DE SISTERON;04200;SISTERON;Public;44.193036;5.943788
040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04995;DIGNE LES BAINS;Public;44.071486;6.173830
040005035;HJ CASA CH DIGNE;04000;DIGNE LES BAINS;Public;44.100055;6.231544
040005043;HJ CH DIGNE;04000;DIGNE LES BAINS;Public;44.088785;6.230498
040005209;HJ CMP CH DIGNE;04000;DIGNE LES BAINS;Public;44.095276;6.234654
040006264;HJ CASA SITE MANOSQUE;04100;MANOSQUE;Public;43.826542;5.790238
040787772;CENTRE HOSPIT SPE PSY DIGNE LES BAINS;04995;DIGNE LES BAINS;Public;44.089301;6.242722
040788218;HJ YVES ARNOUX MANOSQUE;04100;MANOSQUE;Public;43.827593;5.784896
040788580;HJ PSY IJ CHATEAU ARNOUX;04160;CHATEAU ARNOUX ST AUBAN;Public;44.095950;6.010389
040788887;HJ PSY GEN SISTERON;04200;SISTERON;Public;44.194078;5.944962
